L,M,P,kUn,kLn,kU,kL,RF,KF,Trip,TripL,Align,Sim,Node,nPH85,MAST,pathdist,pathdistw,BHV,KC,KCw
0.0019827236,1.23852840255E-06,0.7413107354,0.7774201569,0.5853192805,0.4754697166,0.7110416622,11.68,1311.6998196201,0.3033823529,393.7593247272,5.6226421079,0.3983089381,1.1604121929,0.4393333333,5.23,18.5983197793,9415.7230621547,1372.8761777497,16.2823818992,4818.2011093702
0.0020310808,0.0054460164,0.8084798796,0.7397909215,0.2796884648,0.2235790333,0.3124251372,23.38,1674.9041378268,0.5712205882,734.9040490092,6.3096827894,0.6323345,1.2601169593,0.8426666667,9.03,30.1913790055,12915.3444035723,1787.1658084654,22.8195459975,5923.9052447041
0.0020961837,4.30682616291E-06,0.7173046778,0.7697845607,0.5680469222,0.4445763638,0.7022049209,12.24,1390.9756132738,0.3176029412,418.9574720229,5.6721497669,0.4224303851,1.1641751172,0.4573333333,5.51,19.2444573321,10042.9047902767,1439.9733997782,16.1509103346,5062.2960076641
0.0021720667,0.0039500699,0.7065688544,0.739845224,0.3064943986,0.2357238109,0.3532017259,22.5,1610.7949039393,0.5586323529,696.0173286357,6.5298938284,0.6145571474,1.2883157303,0.8133333333,8.84,29.8636963724,12035.6357758176,1718.8667050371,22.4734326176,5673.6232806636
0.0021904443,3.38340514944E-07,0.0331211437,0.7665203447,0.1558294157,0.0171756571,0.0323393173,23.56,1934.7742407539,0.4586176471,644.9815057028,6.1811608947,0.4823527507,1.2547239673,0.8453333333,8.87,28.6253446285,14567.1998737029,1944.2778228295,20.4355964863,6824.5648805216
0.0023131016,0.0025101274,0.1864938647,0.7550864388,0.1647211061,0.0666582051,0.1182811759,24.88,1663.5148294502,0.5581911765,705.5697591059,6.3833620546,0.576576174,1.2439065922,0.8946666667,9.36,30.7551939682,12524.7776584812,1811.0558457398,22.8166600451,5614.8041577904
0.0023548909,4.03706187355E-05,0.9198264422,0.8884366351,0.8210518097,0.7791003322,0.8961799478,4.56,594.3672095909,0.1287058824,169.1816292252,2.9584462759,0.1867532096,0.6282862926,0.1753333333,2.11,8.7274512808,4085.2855615332,791.0899971793,7.7907933705,2156.0825874396
0.0024430143,5.64548818563E-06,0.0992564535,0.7718496781,0.1770709788,0.0392330192,0.0837430675,22.56,1599.4471243513,0.3955147059,526.0273152186,6.0449076479,0.4403081313,1.2285353825,0.808,8.5,26.7259937676,12260.605747513,1679.4801729346,19.2820542474,5180.4944414818
0.0025043268,0.2325801467,0.0138877949,0.761056853,0.0148498353,0.0143546318,2.1865000138365E-27,27.72,1684.0873311752,0.6737794118,829.2303256149,6.4612415362,0.6425382513,1.2725323936,0.9906666667,10.77,35.2411855528,12802.964907231,1830.7754093207,25.8953486872,5438.2932613565
0.002580116,0.0872250405,0.7590470975,0.7484194157,0.0365253916,0.1168884073,0.0090835205,27.28,1427.0285235242,0.6636323529,718.5024957766,6.5407066822,0.6879147131,1.2779850032,0.976,10.79,34.5164547126,10137.7922879998,1609.7955601051,25.3999088316,4746.4836847357
0.0026712148,0.005748072,0.3046239884,0.7382436116,0.1265065273,0.0863401146,0.1316194204,25.74,1519.7815123023,0.6240294118,758.3063466632,6.3562670108,0.6143996796,1.2495368627,0.9246666667,9.95,32.2673381991,11833.6816203631,1691.1863425131,24.4371244639,4983.5455326635
0.0027033468,3.93623335484E-07,0.9969482414,0.9940456233,0.9944450651,0.9873062879,0.9988813281,0.18,21.570965477,0.0074117647,8.0324207088,0.1709142802,0.007671633,0.0416987478,0.0073333333,0.12,0.5049617017,154.9743650651,376.4968240518,0.4715328847,76.7013658757
0.0027861668,0.0005914717,0.4909052103,0.7517082342,0.3748304859,0.2317345781,0.421497526,18.22,1335.8749724502,0.3858382353,473.9748508125,6.1700624931,0.4696943621,1.2545147894,0.662,7.09,24.2580040071,9632.9386349278,1468.9485907136,18.35206967,4295.5202134083
0.0029360738,0.006801697,0.1023971355,0.7562810386,0.0734799898,0.0339504742,0.0362658828,26.88,1373.4304918966,0.6361029412,718.2049508861,6.2521988844,0.5820586657,1.2816894814,0.9626666667,10.33,34.4078178221,10328.0308685453,1588.1057741333,24.7702368267,4124.9962413737
0.0029532678,2.90556116308E-07,0.4089765553,0.750236989,0.3373240612,0.2022514382,0.3818283938,17.84,1173.5666787598,0.3463235294,397.4669635249,5.9458724054,0.401233111,1.1993775287,0.6413333333,7.09,23.0480076719,8534.5555665768,1331.0369315036,17.5415418759,3613.3391803341
0.0030990109,0.0011689767,0.5636594939,0.7556340156,0.3732436958,0.2441269867,0.4503129776,19.44,1190.4011848498,0.4447058823,494.9193985628,6.2294336497,0.4860025887,1.2510724155,0.71,7.59,25.5241751789,8145.3440908029,1369.6015955032,20.0766390008,3701.5684568954
0.0031471545,0.0006284693,0.1658054227,0.7689314038,0.1787769502,0.056679053,0.1191349504,23.22,1351.2817597814,0.4404852941,526.0630476247,6.036715812,0.473088037,1.2404817018,0.8326666667,8.51,27.1929600461,10179.3818438856,1515.5707807296,20.1171645191,4198.4923515718
0.0032254666,0.0045385741,0.9326446527,0.7956420734,0.4099465195,0.3591354406,0.4581071664,20.24,1133.9006250743,0.4888235294,497.9673780575,6.3168257021,0.5606433412,1.2588350403,0.738,7.48,26.7490075868,7416.8223142697,1326.5871648572,20.6801860838,3624.134683047
0.0034052226,7.93315994757E-07,0.9108229692,0.8832050693,0.8216298104,0.7547072142,0.8961171071,4.2,416.3485135463,0.1033970588,118.7841482988,2.7450624098,0.1431348701,0.5903979646,0.1553333333,2.04,8.1080992904,2626.2234715551,636.1975644612,6.955549161,1261.7254262383
0.0034365101,2.56471376325E-07,0.9620642926,0.9279801703,0.9030868103,0.8718900419,0.9613347692,2.14,241.7876510827,0.0599705882,61.3607465238,1.5907756688,0.0814895908,0.347106651,0.0806666667,1.02,4.7080916931,1480.4610398925,514.5112299137,4.0049176165,767.1351482251
0.0035457278,0.0007203476,0.6783410428,0.7719586391,0.4889211153,0.3482706167,0.5701086443,15.74,944.7498442004,0.3365,341.2171568232,6.2753931346,0.3975810974,1.2392280746,0.5693333333,6.13,21.5467950879,6010.4944429216,1129.6344746724,16.8281123457,2715.125893445
0.0036615737,3.05076507681E-07,0.2036379714,0.7713892336,0.2618316652,0.0949802534,0.2083317722,19.88,1044.1434780362,0.3344411765,354.719832006,6.1927786935,0.3660645413,1.2445387178,0.7093333333,7.91,24.1904994075,6831.8208946874,1219.0326385462,17.1900411914,2724.6089427831
0.0037534988,0.0013873036,0.3996719691,0.7522949573,0.245128259,0.1409439578,0.2651271608,22.5,1100.6487849096,0.4658823529,479.5527526036,6.2667215562,0.4789116351,1.250889517,0.814,8.43,27.6703513427,7321.820955468,1321.0765372867,20.4308480215,3114.8604022582
0.0039393864,0.000000159,0.2470916349,0.7557531765,0.2689366684,0.1114121664,0.2315576022,18.96,1012.569500963,0.3214264706,346.0229768999,6.1256389444,0.3569336781,1.2418482798,0.678,7.39,23.2149178088,6911.9661135417,1179.111232776,17.257036248,2849.1916987777
